No,レア,カード名,card_number,買取金額,更新日,弾,ラッシュ販売価格,ラッシュ在庫状況,画像URL,期待利益
098/SV-P,,名探偵ピカチュウ,098/SV-P,31000,2/5,,22800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303233313030365f3365663463312e6a70670031363000534f4c44204f555400660023666666666666.jpg,8200
192/SV-P,,ニャース,192/SV-P,18000,2/5,,11800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303234313131355f6336663963342e6a7067003136300000660023666666666666.jpg,6200
218/SV-P,,ピカチュウ,218/SV-P,14000,2/5,,6480,在庫あり (16枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6d657373616765496d6167655f313732323135373930373435355f302e6a7067003136300000660023666666666666.jpg,7520
288/SV-P,,ビクティニ(争奪戦プロモ),288/SV-P,110000,2/5,,81800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f53565032353036313431372e6a70670031363000534f4c44204f555400660023666666666666.jpg,28200
001/030,,ピカチュウex,001/030,64000,2/5,,39800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f31727573687057435332333030313033302e6a70670031363000534f4c44204f555400660023666666666666.jpg,24200
062/SV-P,,イーブイ,062/SV-P,15000,2/5,,12800,在庫あり (8枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3036325f6569657675695f43522e6a7067003136300000660023666666666666.jpg,2200
063/SV-P,,シャワーズ,063/SV-P,15000,2/5,,11800,在庫あり (2枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3036335f73686f776572735f43522e6a7067003136300000660023666666666666.jpg,3200
064/SV-P,,サンダース,064/SV-P,15000,2/5,,10800,在庫あり (4枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3036345f7468756e646572735f43522e6a7067003136300000660023666666666666.jpg,4200
065/SV-P,,ブースター,065/SV-P,15000,2/5,,10800,在庫あり (5枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3036355f626f6f737465725f43522e6a7067003136300000660023666666666666.jpg,4200
066/SV-P,,エーフィ,066/SV-P,15000,2/5,,11800,在庫あり (6枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3036365f65696669655f43522e6a7067003136300000660023666666666666.jpg,3200
067/SV-P,,ブラッキー,067/SV-P,25000,2/5,,23800,在庫あり (16枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3036375f626c61636b795f43522e6a7067003136300000660023666666666666.jpg,1200
068/SV-P,,リーフィア,068/SV-P,15000,2/5,,10800,在庫あり (5枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3036385f6c65616669615f43522e6a7067003136300000660023666666666666.jpg,4200
069/SV-P,,グレイシア,069/SV-P,15000,2/5,,10800,在庫あり (6枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3036395f676c616369615f43522e6a7067003136300000660023666666666666.jpg,4200
070/SV-P,,ニンフィア,070/SV-P,15000,2/5,,10800,在庫あり (11枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3037305f6e796d706869615f43522e6a7067003136300000660023666666666666.jpg,4200
003/032,,リザードン(クラシック版),003/032,38000,2/5,,27800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f435250434c4c2d3030332e6a7067003136300000660023666666666666.jpg,10200
003/032,,フシギバナ(クラシック版),003/032,8500,2/5,,3480,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f435250434c462d3030332e6a70670031363000534f4c44204f555400660023666666666666.jpg,5020
003/032,,カメックス(クラシック版),003/032,9500,2/5,,4480,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f435250434c4b2d3030332e6a7067003136300000660023666666666666.jpg,5020
008/032,,ピカチュウ(クラシック版),008/032,20000,2/5,,10800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f435250434c4c2d3030382e6a7067003136300000660023666666666666.jpg,9200
260/SV-P,,トウホクのピカチュウ,260/SV-P,38000,2/9,,15800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303235303830395f3031306536662e6a70670031363000534f4c44204f555400660023666666666666.jpg,22200
261/SV-P,,ヒロシマのピカチュウ,261/SV-P,36000,2/9,,23800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303235303830395f6366313733642e6a7067003136300000660023666666666666.jpg,12200
289/SV-P,,フクオカのピカチュウ,289/SV-P,40000,2/9,,24800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303235303830395f3264616466642e6a70670031363000534f4c44204f555400660023666666666666.jpg,15200
259/172,UR,オリジンパルキアVSTAR,259/172,16000,2/6,,12800,在庫あり (12枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f533132615f332e6a7067003136300000660023666666666666.jpg,3200
260/172,UR,オリジンディアルガVSTAR,260/172,16000,2/6,,10800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f533132615f322e6a7067003136300000660023666666666666.jpg,5200
261/172,UR,ギラティナVSTAR,261/172,29000,2/6,,29800,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f533132615f312e6a7067003136300000660023666666666666.jpg,-800
262/172,UR,アルセウスVSTAR,262/172,17000,2/6,,16800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f533132615f302e6a7067003136300000660023666666666666.jpg,200
183/172,AR,ミュウ,183/172,8000,2/6,,4980,在庫あり (82枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f533132615f37392e6a7067003136300000660023666666666666.jpg,3020
205/172,AR,ピカチュウ,205/172,48000,2/6,,39800,在庫あり (8枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f533132615f35372e6a7067003136300000660023666666666666.jpg,8200
210/172,SAR,リーフィアVSTAR,210/172,11000,2/6,,5980,在庫あり (4枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f533132615f35322e6a7067003136300000660023666666666666.jpg,5020
211/172,SAR,リザードンV,211/172,13000,2/6,,6480,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f533132615f35312e6a70670031363000534f4c44204f555400660023666666666666.jpg,6520
212/172,SAR,リザードンVSTAR,212/172,16000,2/6,,13800,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f533132615f35302e6a7067003136300000660023666666666666.jpg,2200
217/172,SAR,グレイシアVSTAR,217/172,10000,2/6,,5280,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f533132615f34352e6a70670031363000534f4c44204f555400660023666666666666.jpg,4720
221/172,SAR,ミュウツーVSTAR,221/172,15000,2/6,,14800,在庫あり (9枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f533132615f34312e6a7067003136300000660023666666666666.jpg,200
236/172,SAR,カイ,236/172,10000,2/6,,5780,在庫あり (14枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f533132615f32372e6a7067003136300000660023666666666666.jpg,4220
239/172,SAR,シロナの覇気,239/172,13000,2/6,,5280,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f533132615f32342e6a70670031363000534f4c44204f555400660023666666666666.jpg,7720
246/172,SR,カミツレのきらめき,246/172,9000,2/6,,4980,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f533132615f31372e6a7067003136300000660023666666666666.jpg,4020
108/098,SR,レジドラゴV（SA）,108/098,5500,2/6,,2780,在庫あり (2枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7331325f31372e6a7067003136300000660023666666666666.jpg,2720
110/098,SR,ルギアV(SA),110/098,100000,2/2,,99800,在庫あり (2枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7331325f31352e6a7067003136300000660023666666666666.jpg,200
081/068,SR,セレナ,081/068,16000,2/6,,11800,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f33353330322e6a7067003136300000660023666666666666.jpg,4200
084/068,CSR,ジャローダV(SA),084/068,11000,2/6,,5480,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f33353330352e6a7067003136300000660023666666666666.jpg,5520
106/100,SR,プテラV(SA),106/100,20000,2/6,,14800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f5331312d3130362e6a70670031363000534f4c44204f555400660023666666666666.jpg,5200
111/100,SR,ギラティナV(SA),111/100,170000,2/6,,178000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f5331312d3131312e6a70670031363000534f4c44204f555400660023666666666666.jpg,-8000
074/071,SR,ミュウツーV(SA),074/071,18000,2/6,,10800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36393732323833332e6a70670031363000534f4c44204f555400660023666666666666.jpg,7200
073/071,CHR,ピカチュウ,073/071,11000,2/6,,6280,在庫あり (99枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f533130613037332d3037312e6a7067003136300000660023666666666666.jpg,4720
074/071,CHR,ゲンガー,074/071,8500,2/6,,4780,在庫あり (72枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f533130613037342d3037312e6a7067003136300000660023666666666666.jpg,3720
073/067,SR,カイリキーV(SA),073/067,13000,2/6,,12800,在庫あり (5枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f533130443037333036372e6a7067003136300000660023666666666666.jpg,200
075/067,SR,オリジンディアルガV(SA),075/067,20000,2/6,,9480,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f533130443037353036372e6a70670031363000534f4c44204f555400660023666666666666.jpg,10520
071/067,SR,オリジンパルキアV(SA),071/067,15000,2/6,,13800,在庫あり (4枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f533130503037313036372e6a7067003136300000660023666666666666.jpg,1200
077/067,SR,カイ,077/067,17000,2/6,,6480,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f533130503037373036372e6a70670031363000534f4c44204f555400660023666666666666.jpg,10520
083/067,CSR,スターミーV(SA),083/067,24000,2/6,,15800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f5339613038333036372e6a70670031363000534f4c44204f555400660023666666666666.jpg,8200
084/067,CSR,ガブリアスV(SA),084/067,17000,2/6,,7980,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f5339613038343036372e6a7067003136300000660023666666666666.jpg,9020
103/100,SR,リザードンV(SA),103/100,42000,2/6,,39800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f73395f3232303131335f32342e6a7067003136300000660023666666666666.jpg,2200
118/100,HR,リザードンVSTAR,118/100,19000,2/6,,9980,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f73395f3232303131335f392e6a70670031363000534f4c44204f555400660023666666666666.jpg,9020
112/100,SR,アルセウスＶ(SA),112/100,12000,2/6,,7480,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f73395f3232303131335f31352e6a70670031363000534f4c44204f555400660023666666666666.jpg,4520
415/414,SR,ピカチュウV,415/414,19000,2/6,,7480,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231313231365f3266643837642e6a70670031363000534f4c44204f555400660023666666666666.jpg,11520
419/414,SR,マリィのプライド,419/414,25000,2/6,,21800,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231313231365f6265336463652e6a7067003136300000660023666666666666.jpg,3200
222/184,CSR,ピカチュウ,222/184,24000,2/6,,14800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36383234383335372e6a7067003136300000660023666666666666.jpg,9200
223/184,CSR,ピカチュウVMAX,223/184,27000,2/6,,24800,在庫あり (8枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36383234383335382e6a7067003136300000660023666666666666.jpg,2200
231/184,CSR,ニンフィアV,231/184,11000,2/6,,5480,在庫あり (5枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36383234383336342e6a7067003136300000660023666666666666.jpg,5520
232/184,CSR,ニンフィアVMAX,232/184,11000,2/6,,7280,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36383234383336352e6a70670031363000534f4c44204f555400660023666666666666.jpg,3720
233/184,CSR,ミミッキュV,233/184,13000,2/6,,4980,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36383234383336362e6a70670031363000534f4c44204f555400660023666666666666.jpg,8020
234/184,CSR,ミミッキュVMAX,234/184,14000,2/6,,7480,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36383234383336372e6a70670031363000534f4c44204f555400660023666666666666.jpg,6520
244/184,CSR,ブラッキーV,244/184,13000,2/6,,6480,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36383234383337382e6a70670031363000534f4c44204f555400660023666666666666.jpg,6520
245/184,CSR,ブラッキーVMAX,245/184,16000,2/6,,8980,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36383234383337392e6a70670031363000534f4c44204f555400660023666666666666.jpg,7020
252/184,CSR,レックウザVMAX,252/184,23000,2/6,,16800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36383234383338372e6a70670031363000534f4c44204f555400660023666666666666.jpg,6200
255/184,SR,アセロラの予感,255/184,13000,2/6,,8280,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36383234383339302e6a70670031363000534f4c44204f555400660023666666666666.jpg,4720
258/184,SR,ガラルの仲間たち,258/184,16000,2/6,,4980,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36383234383339332e6a70670031363000534f4c44204f555400660023666666666666.jpg,11020
276/184,SR,ユウリ,276/184,14000,2/6,,7980,在庫あり (2枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36383234383431332e6a7067003136300000660023666666666666.jpg,6020
277/184,SR,ルリナ,277/184,8500,2/6,,1780,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36383234383431342e6a70670031363000534f4c44204f555400660023666666666666.jpg,6720
279/184,UR,ピカチュウVMAX,279/184,18000,2/6,,15800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36383234383334302e6a7067003136300000660023666666666666.jpg,2200
001/025,p,リザードン,001/025,70000,2/2,,57800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f63725338615030312e6a70670031363000534f4c44204f555400660023666666666666.jpg,12200
002/025,p,フシギバナ,002/025,15000,2/6,,9480,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f63725338615030322e6a70670031363000534f4c44204f555400660023666666666666.jpg,5520
003/025,p,カメックス,003/025,19000,2/6,,14800,在庫あり (8枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f63725338615030332e6a7067003136300000660023666666666666.jpg,4200
005/025,p,わるいギャラドス,005/025,13000,2/6,,6480,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f63725338615030352e6a70670031363000534f4c44204f555400660023666666666666.jpg,6520
006/025,p,ロケット団参上！,006/025,7000,2/6,,2480,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f63725338615030362e6a70670031363000534f4c44204f555400660023666666666666.jpg,4520
007/025,p,_のピカチュウ,007/025,70000,2/11,,52800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f63725338615030372e6a70670031363000534f4c44204f555400660023666666666666.jpg,17200
008/025,p,R団のサンダー,008/025,7000,2/6,,2480,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f63725338615030382e6a70670031363000534f4c44204f555400660023666666666666.jpg,4520
009/025,p,ピィ,009/025,5500,2/6,,1580,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f63725338615030392e6a70670031363000534f4c44204f555400660023666666666666.jpg,3920
010/025,p,ひかるコイキング,010/025,30000,2/6,,21800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f63725338615031302e6a70670031363000534f4c44204f555400660023666666666666.jpg,8200
012/025,p,ブラッキー スター,012/025,38000,2/6,,34800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f63725338615031322e6a70670031363000534f4c44204f555400660023666666666666.jpg,3200
013/025,p,ロケット団の幹部,013/025,4000,2/6,,680,在庫あり (18枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f63725338615031332e6a7067003136300000660023666666666666.jpg,3320
014/025,p,ミュウex,014/025,14000,2/6,,7980,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f63725338615031342e6a70670031363000534f4c44204f555400660023666666666666.jpg,6020
018/025,p,ガブリアスC　LV.X,018/025,6000,2/6,,1980,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f63725338615031382e6a70670031363000534f4c44204f555400660023666666666666.jpg,4020
020/025,p,レシラム,020/025,16000,2/6,,11800,在庫あり (8枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f63725338615032302e6a7067003136300000660023666666666666.jpg,4200
021/025,p,ゼクロム,021/025,16000,2/6,,11800,在庫あり (6枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f63725338615032312e6a7067003136300000660023666666666666.jpg,4200
022/025,p,ミュウツーEX,022/025,13000,2/6,,8480,在庫あり (2枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f63725338615032322e6a7067003136300000660023666666666666.jpg,4520
024/025,p,MレックウザEX,024/025,32000,2/6,,24800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f63725338615032342e6a70670031363000534f4c44204f555400660023666666666666.jpg,7200
030/028,UR,ミュウ,030/028,56000,2/6,,25800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231313032315f3037326239382e6a70670031363000534f4c44204f555400660023666666666666.jpg,30200
119/100,HR,ミュウVMAX(SA),119/100,135000,2/6,,99800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36373838373137342e6a70670031363000534f4c44204f555400660023666666666666.jpg,35200
106/100,SR,ミュウV(SA),106/100,29000,2/6,,27800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36373838373136302e6a70670031363000534f4c44204f555400660023666666666666.jpg,1200
083/067,HR,ジュラルドンVMAX(SA),083/067,17000,2/6,,19800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7337443031362e6a70670031363000534f4c44204f555400660023666666666666.jpg,-2800
083/067,HR,レックウザVMAX(SA),083/067,620000,2/6,,578000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7337523031362e6a70670031363000534f4c44204f555400660023666666666666.jpg,42000
074/067,SR,カイリューV(SA),074/067,80000,2/6,,74800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7337523030372e6a70670031363000534f4c44204f555400660023666666666666.jpg,5200
076/067,SR,レックウザV(SA),076/067,120000,2/6,,108000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7337523030392e6a70670031363000534f4c44204f555400660023666666666666.jpg,12000
077/067,SR,サナ,077/067,17000,2/6,,10800,在庫あり (2枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7337523031302e6a7067003136300000660023666666666666.jpg,6200
079/067,SR,ヒガナの決意,079/067,10000,2/6,,6780,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7337523031322e6a7067003136300000660023666666666666.jpg,3220
089/069,HR,リーフィアVMAX（SA),089/069,84000,2/6,,82800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231303532375f3432313764322e6a70670031363000534f4c44204f555400660023666666666666.jpg,1200
091/069,HR,グレイシアVMAX（SA),091/069,100000,2/6,,99800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231303532375f3663303135662e6a70670031363000534f4c44204f555400660023666666666666.jpg,200
093/069,HR,ニンフィアVMAX（SA),093/069,190000,2/6,,158000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231303532375f6463646365302e6a70670031363000534f4c44204f555400660023666666666666.jpg,32000
095/069,HR,ブラッキーVMAX（SA),095/069,520000,2/6,,478000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231303532375f3862393334312e6a70670031363000534f4c44204f555400660023666666666666.jpg,42000
071/069,SR,リーフィアV（SA),071/069,25000,2/6,,20800,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231303532375f6231323664372e6a7067003136300000660023666666666666.jpg,4200
073/069,SR,ブースターＶ（SA),073/069,25000,2/6,,23800,在庫あり (2枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231303532375f3637333837332e6a7067003136300000660023666666666666.jpg,1200
075/069,SR,シャワーズV（SA),075/069,25000,2/6,,21800,在庫あり (4枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231303532375f6539386539392e6a7067003136300000660023666666666666.jpg,3200
077/069,SR,グレイシアV（SA),077/069,24000,2/6,,21800,在庫あり (5枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231303532375f6538323536632e6a7067003136300000660023666666666666.jpg,2200
079/069,SR,サンダースV（SA),079/069,25000,2/6,,20800,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231303532375f3739383333652e6a7067003136300000660023666666666666.jpg,4200
081/069,SR,エーフィV(SA),081/069,26000,2/6,,23800,在庫あり (4枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231303532375f6165346265322e6a7067003136300000660023666666666666.jpg,2200
083/069,SR,ニンフィアV(SA),083/069,27000,2/6,,27800,在庫あり (2枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231303532375f3337663337302e6a7067003136300000660023666666666666.jpg,-800
085/069,SR,ブラッキーV（SA),085/069,65000,2/6,,64800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231303532375f3631383834362e6a70670031363000534f4c44204f555400660023666666666666.jpg,200
086/070,HR,こくばバドレックスVMAX（SA),086/070,120000,2/6,,89800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f73364b3031362e6a70670031363000534f4c44204f555400660023666666666666.jpg,30200
074/070,SR,ゼラオラV(SA),074/070,14000,2/6,,12800,在庫あり (4枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f73364b3030342e6a7067003136300000660023666666666666.jpg,1200
076/070,SR,こくばバドレックスV（SA),076/070,6500,2/6,,3480,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f73364b3030362e6a70670031363000534f4c44204f555400660023666666666666.jpg,3020
085/070,HR,はくばバドレックスVMAX(SA),085/070,60000,2/6,,59800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7336483031352e6a70670031363000534f4c44204f555400660023666666666666.jpg,200
086/070,HR,バシャーモVMAX(SA),086/070,130000,2/6,,89800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f72757368705335613038363037302e6a70670031363000534f4c44204f555400660023666666666666.jpg,40200
074/070,SR,ガラルフリーザーV(SA),074/070,10000,2/6,,7480,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f72757368705335613037343037302e6a70670031363000534f4c44204f555400660023666666666666.jpg,2520
076/070,SR,ガラルサンダーV(SA),076/070,10000,2/6,,7280,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f72757368705335613037363037302e6a70670031363000534f4c44204f555400660023666666666666.jpg,2720
078/070,SR,ガラルファイヤーV(SA),078/070,60000,2/6,,52800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f72757368705335613037383037302e6a70670031363000534f4c44204f555400660023666666666666.jpg,7200
080/070,SR,ガラルヤドキングV(SA),080/070,16000,2/6,,14800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f72757368705335613038303037302e6a7067003136300000660023666666666666.jpg,1200
082/070,SR,クララ,082/070,19000,2/6,,12800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f72757368705335613038323037302e6a7067003136300000660023666666666666.jpg,6200
084/070,HR,れんげきウーラオスVMAX(SA),084/070,100000,2/6,,79800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7335522d53525f3231303132315f31332e6a70670031363000534f4c44204f555400660023666666666666.jpg,20200
074/070,SR,エンペルトV(SA),074/070,22000,2/6,,10800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7335522d53525f3231303132315f332e6a70670031363000534f4c44204f555400660023666666666666.jpg,11200
079/070,SR,コルニの気合い,079/070,10000,2/6,,6480,在庫あり (5枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231303132325f6530326431372e6a7067003136300000660023666666666666.jpg,3520
081/070,SR,モミ,081/070,7500,2/6,,6780,在庫あり (13枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7335522d53525f3231303132315f31302e6a7067003136300000660023666666666666.jpg,720
085/070,HR,いちげきウーラオスVMAX(SA),085/070,52000,2/6,,42800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7335492d53525f3231303132315f31342e6a70670031363000534f4c44204f555400660023666666666666.jpg,9200
